108,Softverski praktikum,0,0,2,0.00,2,1,Zimski,"Energetika, elektronika i telekomunikacije"
109,Sociologija tehnike,2,0,0,0.00,3,1,Zimski,"Energetika, elektronika i telekomunikacije"
110,Engleski jezik - osnovni,2,0,0,0.00,2,1,Zimski,"Energetika, elektronika i telekomunikacije"
111,Matematička analiza 1,3,4,0,1.00,9,1,Letnji,"Energetika, elektronika i telekomunikacije"
112,Osnovi elektrotehnike 2,4,4,0,0.00,9,1,Letnji,"Energetika, elektronika i telekomunikacije"
113,Fizika,3,0,2,0.00,4,1,Letnji,"Energetika, elektronika i telekomunikacije"
114,Programski jezici i strukture podataka,3,0,3,0.00,6,1,Letnji,"Energetika, elektronika i telekomunikacije"
115,Engleski jezik - niži srednji,2,0,0,0.00,2,1,Letnji,"Energetika, elektronika i telekomunikacije"
116,Matematička analiza 1,4,4,0,0.00,9,1,Zimski,Računarstvo i automatika
117,Algebra,4,4,0,0.00,9,1,Zimski,Računarstvo i automatika
118,Programski jezici i strukture podataka,4,1,3,0.00,9,1,Zimski,Računarstvo i automatika
119,Izborni strani jezik 1,2,0,0,0.00,3,1,Zimski,Računarstvo i automatika
120,Arhitektura računara,4,1,3,0.00,9,1,Letnji,Računarstvo i automatika
121,Osnovi elektrotehnike,4,4,0,0.00,9,1,Letnji,Računarstvo i automatika
122,Fizika,4,0,4,0.00,9,1,Letnji,Računarstvo i automatika
123,Izborni strani jezik,2,0,0,0.00,3,1,Letnji,Računarstvo i automatika
124,Modeliranje i simulacija sistema,4,2,2,0.00,8,2,Zimski,Računarstvo i automatika
125,Logičko projektovanje računarskih sistema 1,3,1,2,0.00,6,2,Zimski,Računarstvo i automatika
126,Objektno orijentisano programiranje,4,0,3,1.00,8,2,Zimski,Računarstvo i automatika
127,Matematička analiza 2,4,4,0,0.00,8,2,Zimski,Računarstvo i automatika
128,Operativni sistemi,4,1,3,0.00,8,2,Letnji,Računarstvo i automatika
129,Sistemi automatskog upravljanja,4,2,2,0.00,8,2,Letnji,Računarstvo i automatika
130,Verovatnoća i slučajni procesi,2,2,0,0.00,5,2,Letnji,Računarstvo i automatika
131,Osnovi paralelnog programiranja i softverski alati,3,0,3,0.00,6,2,Letnji,Računarstvo i automatika
132,Izborna pozicija A,2,0,0,0.00,3,2,Letnji,Računarstvo i automatika
133,Matematika 1,4,4,0,0.00,8,1,Zimski,Merenje i regulacija
134,Osnovi elektrotehnike 1,4,4,0,0.00,9,1,Zimski,Merenje i regulacija
135,Uvod u laboratorijski rad,2,0,1,2.00,5,1,Zimski,Merenje i regulacija
136,Sociologija tehnike,2,0,0,0.00,3,1,Zimski,Merenje i regulacija
137,Mehanika,2,2,0,0.00,5,1,Zimski,Merenje i regulacija
138,Osnovi elektrotehnike 2,4,4,0,0.00,9,1,Letnji,Merenje i regulacija
139,Matematika 2,4,4,0,0.00,9,1,Letnji,Merenje i regulacija
140,Uvod u merno-informacione sisteme,2,0,3,0.00,6,1,Letnji,Merenje i regulacija
141,Engleski jezik - niži srednji,2,0,0,0.00,2,1,Letnji,Merenje i regulacija
142,Fizika,3,0,2,0.00,4,1,Letnji,Merenje i regulacija
143,Uvod u elektroniku,3,2,1,0.00,6,2,Zimski,Merenje i regulacija
144,Matematika 3,4,3,0,1.00,8,2,Zimski,Merenje i regulacija
145,Engleski jezik - srednji,2,0,0,0.00,2,2,Zimski,Merenje i regulacija
146,Izborni predmet 1,3-4,0-3,0-3,0.00-1.00,8,2,Zimski,Merenje i regulacija
147,Izborni predmet 1a,3,0,3,0.00,7,2,Zimski,Merenje i regulacija
148,Programski jezici i strukture podataka,3,0,3,0.00,6,2,Letnji,Merenje i regulacija
149,Elektroenergetski pretvarači,3,1,2,0.00,7,2,Letnji,Merenje i regulacija
150,Merni instrumenti,3,0,3,0.00,8,2,Letnji,Merenje i regulacija
151,Izborni predmet 3,3-4,0-2,1-3,0.00,7,2,Letnji,Merenje i regulacija
152,Engleski jezik za inženjere,2,0,0,0.00,2,2,Letnji,Merenje i regulacija
153,Izborni predmet 1,3,0,3,0.00,7,3,Zimski,Merenje i regulacija
154,Izborni predmet 2,2-3,0-1,2-3,0.00,6,3,Zimski,Merenje i regulacija
155,Izborni predmet 3,3,0-3,0-3,0.00,7,3,Zimski,Merenje i regulacija
156,Izborni predmet 4,2,0,2,0.00,4,3,Zimski,Merenje i regulacija
157,Izborni predmet 5,3-4,0-1,2,0.00,7,3,Zimski,Merenje i regulacija
158,Izborni predmet 6,2-3,0-2,1-2,0.00,6,3,Letnji,Merenje i regulacija
159,Izborni predmet 7,3,0-1,1-3,0.00,6,3,Letnji,Merenje i regulacija
160,Izborni predmet 8,3,0-1,1-3,0.00,6,3,Letnji,Merenje i regulacija
161,Izborni predmet 9,4,0,4,0.00,8,3,Letnji,Merenje i regulacija
162,Stručna praksa 1,0,0,0,3.00,3,3,Letnji,Merenje i regulacija
163,Metrologija i mikroračunarska instrumentacija,2,2,0,0.00,6,4,Zimski,Merenje i regulacija
164,Izborni predmet 1,3,0,3,0.00,7,4,Zimski,Merenje i regulacija
165,Izborni predmet 2,3,0-2,1-3,0.00,6,4,Zimski,Merenje i regulacija
166,Izborni predmet 3,2,0,2,0.00,4,4,Zimski,Merenje i regulacija
167,Izborni predmet 4,4,1-2,2-3,0.00,8,4,Zimski,Merenje i regulacija
168,Izborni predmet 5,2,0-2,0-2,0.00,4,4,Letnji,Merenje i regulacija
169,Izborni predmet 6,3,0,3,0.00,5,4,Letnji,Merenje i regulacija
170,Izborni predmet 7,3,0,3,0.00,5,4,Letnji,Merenje i regulacija
171,Izborni predmet 8,2,0,2,0.00,4,4,Letnji,Merenje i regulacija
172,Stručna praksa 2,0,0,0,3.00,2,4,Letnji,Merenje i regulacija
173,Diplomski rad - istraživački rad,0,0,0,0.00,4,4,Letnji,Merenje i regulacija
174,Diplomski rad - izrada i odbrana,0,0,0,3.00,5,4,Letnji,Merenje i regulacija
175,Algebra,4,4,0,0.00,9,1,Zimski,Primenjeno softversko inženjerstvo
176,Programski jezici i strukture podataka,4,1,3,0.00,9,1,Zimski,Primenjeno softversko inženjerstvo
177,Strani jezik 1 - izborni,2,0,0,0.00,3,1,Zimski,Primenjeno softversko inženjerstvo
178,Osnove elektrotehnike,4,4,0,0.00,9,1,Zimski,Primenjeno softversko inženjerstvo
